,timestamp,open,high,low,close,volume,transparent_open,transparent_high,transparent_low,transparent_close,transparent_volume,volume_transparency.?,volume_transparency.A,volume_transparency.B,volume_transparency.C,volume_transparency.D
0,30/06/2022,34.16706427,34.27541821,31.86030207,31.97349452,996935171,34.08002324,34.18962551,31.74404702,31.87263886,337847511.8,5202810,337847511,10125,363787757,290086966
1,29/06/2022,35.43733,36.17312446,33.21975008,34.12922336,2774137377,35.41037514,36.15658138,33.15845831,34.09899927,1233981738,5774589,1233981738,25409512,1184385562,324585973
2,28/06/2022,38.65091301,40.00333195,35.23082632,35.50862744,2678288040,38.60798544,39.98125992,35.16995486,35.45520518,1237930666,5977476,1237930666,27772327,1134957320,271650248
3,27/06/2022,39.53963663,41.38037165,38.04737504,38.67865498,2613223740,39.46091827,41.33359126,37.97259047,38.59900469,1122610875,6059965,1122610874,25651344,1191416646,267484908
4,26/06/2022,42.37913805,42.53618807,39.2373347,39.47661236,2385119893,42.31664124,42.45406288,39.12641244,39.36798064,1032490557,4795834,1032490556,23416192,1049232280,275185028
5,25/06/2022,42.13626644,42.85883212,39.99561417,42.44932304,2608189197,42.04692587,42.79205418,39.92118527,42.37822484,1118624984,5821599,1118624984,27757712,1127350977,328633923
6,24/06/2022,38.24587438,42.91200228,37.72220492,41.93609725,3453219070,38.20546343,42.85083811,37.65016628,41.84924412,1637083277,8490669,1637083276,45858383,1414019149,347767590
7,23/06/2022,34.25677145,38.74896235,34.10667508,38.24223728,3362985859,34.19917459,38.74040353,34.0411567,38.21772116,1651750743,7564511,1651750742,56654951,1206553635,440462018
8,22/06/2022,36.49517901,36.94191437,33.74404831,34.22541715,3014398864,36.47332612,36.91231756,33.70361226,34.18313834,1497882881,6630841,1497882880,42432994,1167230735,300221411
9,21/06/2022,35.33281111,39.18155512,34.29095607,36.47316833,3383852547,35.31233513,39.1822824,34.26289319,36.45426706,1615237721,8025182,1615237721,44085283,1343807052,372697306
10,20/06/2022,34.26298357,36.91254519,31.84430017,35.28460102,3646526197,34.25349211,36.90992149,31.78717157,35.28212937,1695903617,9087615,1695903616,45431093,1409504385,486599486
11,19/06/2022,32.09969866,35.47908485,28.93419101,34.27412096,3759295260,32.07875957,35.47159596,28.90468572,34.25389561,1851640213,9157388,1851640212,39525860,1442111731,416860067
12,18/06/2022,30.76254802,32.09409505,27.2444003,32.04020778,3453625186,30.75764805,32.10863254,27.18386332,32.06045317,1705180249,8559699,1705180248,33859266,1189826519,516199452
13,17/06/2022,30.23334103,32.22698577,29.40377109,30.82301964,2233229257,30.16885062,32.20551473,29.32576543,30.77548988,997237587.3,5273484,997237587,19292691,891609634,319815859
14,16/06/2022,34.76965973,35.9263899,29.63483306,30.22415602,3416417284,34.78843368,35.95572425,29.57487293,30.15176082,1685541245,8716296,1685541244,32876767,1277154199,412128776
15,15/06/2022,29.64844834,34.83047466,26.95681499,34.70545322,4847476659,29.61107485,34.8597049,26.88817458,34.75241942,2432450461,12298137,2432450461,52476181,1692471551,657780327
16,14/06/2022,28.63612407,32.28464406,25.9431011,29.63130225,3947545664,28.65310393,32.28645753,25.91475761,29.6252651,2103904599,9510686,2103904599,46571258,1295835462,491723658
17,13/06/2022,30.63089895,31.10899054,26.07947303,28.64761019,4599757074,30.60560047,31.07687038,26.03892815,28.65958372,2373337304,11154296,2373337304,56720695,1369357093,789187684
